layer,module,loss,samples,damp,time
0,self_attn.k_proj,0.0000083893,0.01000,1.180
0,self_attn.v_proj,0.0000010061,0.01000,0.896
0,self_attn.q_proj,0.0000389046,0.01000,1.030
0,self_attn.o_proj,0.0000032548,0.01000,0.892
0,mlp.up_proj,0.0000272043,0.01000,1.295
0,mlp.gate_proj,0.0000351007,0.01000,1.466
0,mlp.down_proj,0.0000062726,0.01000,6.278
1,self_attn.k_proj,0.0000018835,0.01000,0.810
1,self_attn.v_proj,0.0000003487,0.01000,0.955
1,self_attn.q_proj,0.0000067510,0.01000,1.069
1,self_attn.o_proj,0.0000009698,0.01000,0.890
1,mlp.up_proj,0.0006117652,0.01000,1.248
1,mlp.gate_proj,0.0008478720,0.01000,1.487
1,mlp.down_proj,0.0000012791,0.01000,5.747
2,self_attn.k_proj,0.0000024151,0.01000,0.804
2,self_attn.v_proj,0.0000005594,0.01000,0.924
2,self_attn.q_proj,0.0000107602,0.01000,1.065
2,self_attn.o_proj,0.0000007703,0.01000,0.871
2,mlp.up_proj,0.0003254836,0.01000,1.271
2,mlp.gate_proj,0.0002636967,0.01000,1.456
2,mlp.down_proj,0.0001081412,0.01000,5.733
3,self_attn.k_proj,0.0000100072,0.01000,0.807
3,self_attn.v_proj,0.0000019578,0.01000,0.924
3,self_attn.q_proj,0.0000480658,0.01000,1.040
3,self_attn.o_proj,0.0000013451,0.01000,0.857
3,mlp.up_proj,0.0005035094,0.01000,1.245
3,mlp.gate_proj,0.0004897092,0.01000,1.455
3,mlp.down_proj,0.0000063709,0.01000,6.052
4,self_attn.k_proj,0.0000063935,0.01000,0.806
4,self_attn.v_proj,0.0000020861,0.01000,0.958
4,self_attn.q_proj,0.0000323713,0.01000,1.066
4,self_attn.o_proj,0.0000026154,0.01000,0.848
4,mlp.up_proj,0.0003883016,0.01000,1.264
4,mlp.gate_proj,0.0004871216,0.01000,1.444
4,mlp.down_proj,0.0000078889,0.01000,5.866
5,self_attn.k_proj,0.0000101165,0.01000,0.818
5,self_attn.v_proj,0.0000031677,0.01000,0.947
5,self_attn.q_proj,0.0000567612,0.01000,1.054
5,self_attn.o_proj,0.0000016631,0.01000,0.872
5,mlp.up_proj,0.0006297258,0.01000,1.315
5,mlp.gate_proj,0.0007558482,0.01000,1.439
5,mlp.down_proj,0.0000121121,0.01000,5.965
6,self_attn.k_proj,0.0000082205,0.01000,0.804
6,self_attn.v_proj,0.0000046275,0.01000,0.928
6,self_attn.q_proj,0.0000476209,0.01000,1.035
6,self_attn.o_proj,0.0000053725,0.01000,0.901
6,mlp.up_proj,0.0009053394,0.01000,1.274
6,mlp.gate_proj,0.0010428249,0.01000,1.484
6,mlp.down_proj,0.0000150397,0.01000,5.874
7,self_attn.k_proj,0.0000107250,0.01000,0.835
7,self_attn.v_proj,0.0000066212,0.01000,0.975
7,self_attn.q_proj,0.0000703421,0.01000,1.040
7,self_attn.o_proj,0.0000030496,0.01000,0.869
7,mlp.up_proj,0.0009756119,0.01000,1.378
7,mlp.gate_proj,0.0011980842,0.01000,1.620
7,mlp.down_proj,0.0000249222,0.01000,5.818
8,self_attn.k_proj,0.0000116734,0.01000,0.832
8,self_attn.v_proj,0.0000079254,0.01000,0.934
8,self_attn.q_proj,0.0000762979,0.01000,1.014
8,self_attn.o_proj,0.0000041901,0.01000,0.867
8,mlp.up_proj,0.0010074566,0.01000,1.258
8,mlp.gate_proj,0.0014544176,0.01000,1.448
8,mlp.down_proj,0.0000306081,0.01000,5.739
9,self_attn.k_proj,0.0000118347,0.01000,0.819
9,self_attn.v_proj,0.0000065956,0.01000,0.980
9,self_attn.q_proj,0.0000663535,0.01000,1.031
9,self_attn.o_proj,0.0000068234,0.01000,0.836
9,mlp.up_proj,0.0009249078,0.01000,1.254
9,mlp.gate_proj,0.0013915842,0.01000,1.446
9,mlp.down_proj,0.0000364900,0.01000,5.755
10,self_attn.k_proj,0.0000131780,0.01000,0.800
10,self_attn.v_proj,0.0000090194,0.01000,0.961
10,self_attn.q_proj,0.0000897318,0.01000,1.032
10,self_attn.o_proj,0.0000064201,0.01000,0.878
10,mlp.up_proj,0.0007136104,0.01000,1.289
10,mlp.gate_proj,0.0010900275,0.01000,1.461
10,mlp.down_proj,0.0000451023,0.01000,5.799
11,self_attn.k_proj,0.0000105252,0.01000,0.788
11,self_attn.v_proj,0.0000087570,0.01000,0.942
11,self_attn.q_proj,0.0000682701,0.01000,1.070
11,self_attn.o_proj,0.0000097758,0.01000,0.887
11,mlp.up_proj,0.0004411040,0.01000,1.263
11,mlp.gate_proj,0.0006090208,0.01000,1.491
11,mlp.down_proj,0.0000512303,0.01000,5.855
12,self_attn.k_proj,0.0000112810,0.01000,0.826
12,self_attn.v_proj,0.0000078485,0.01000,0.953
12,self_attn.q_proj,0.0000738625,0.01000,1.070
12,self_attn.o_proj,0.0000094840,0.01000,0.879
12,mlp.up_proj,0.0004819809,0.01000,1.260
12,mlp.gate_proj,0.0006855995,0.01000,1.454
12,mlp.down_proj,0.0000489582,0.01000,5.789
13,self_attn.k_proj,0.0000140044,0.01000,0.784
13,self_attn.v_proj,0.0000045889,0.01000,0.968
13,self_attn.q_proj,0.0000701099,0.01000,1.060
13,self_attn.o_proj,0.0000058681,0.01000,0.898
13,mlp.up_proj,0.0003662789,0.01000,1.277
13,mlp.gate_proj,0.0003816389,0.01000,1.445
13,mlp.down_proj,0.0000461001,0.01000,5.791
14,self_attn.k_proj,0.0000099621,0.01000,0.819
